"2020-08-27 04:26","Fito Paez","Llueve Sobre Mojado","329106"
"2020-08-27 04:30","Fito Paez","Un Vestido Y Un Amor - En Vivo","215346"
"2020-08-27 04:36","Illapu","Sobreviviendo","331680"
"2020-08-27 04:41","Jorge Drexler","Las transeúntes","303080"
"2020-08-27 04:45","Pedro Aznar","Seminare - En Vivo","288373"
"2020-08-27 04:51","Invisible","El Anillo del Capitán Beto","306626"
"2020-08-27 05:21","Andrés Calamaro","Flaca","277653"
"2020-08-27 05:26","Fito Paez","Y dale alegría a mi corazón","311946"
"2020-08-27 05:30","Serú Girán","Desarma Y Sangra - Remastered","222266"
"2020-08-27 05:36","Sui Generis","Dime Quién Me Lo Robo","388733"
"2020-08-27 05:39","Luis Alberto Spinetta","Te para Tres (En Vivo) (feat. Gustavo Cerati)","196453"
"2020-08-27 05:45","Lágrimas De Sangre","Cuando sale el sol","352235"
"2020-08-27 05:49","Soda Stereo","Te Para 3 - MTV Unplugged","247000"
"2020-08-27 06:00","Cultura Profética","No Woman No Cry - Live","408973"
"2020-08-27 06:03","Sui Generis","Necesito","133960"
"2020-08-27 06:07","Fito Paez","11 y 6","237946"
"2020-08-27 06:10","Pedro Aznar","A Primera Vista - En Vivo","208240"
"2020-08-27 06:15","Fito Paez","Tumbas De La Gloria","284853"
"2020-08-27 06:35","Soda Stereo","Trátame Suavemente - Remasterizado 2007","198539"
"2020-08-27 19:56","Borderline","Mariposa Muerta","72510"
"2020-08-28 18:20","Gustavo Cerati","Cactus","2280"
"2020-08-28 18:24","Gustavo Cerati","Cactus","234760"
"2020-08-28 18:29","Andrés Calamaro","Crímenes perfectos","264840"
"2020-08-28 18:32","Luis Alberto Spinetta","Bajan (En Vivo) (feat. Gustavo Cerati)","225906"
"2020-08-28 18:37","Fito Paez","Tumbas De La Gloria","284853"
"2020-08-28 18:40","La Maquina De Hacer Pájaros","Como Mata el Viento Norte","164440"
"2020-08-28 18:44","Andrés Calamaro","Donde manda marinero","244866"
"2020-08-28 18:48","Serú Girán","Peperina","220280"
"2020-08-28 18:50","Pappo","Juntos a la Par","149936"
"2020-08-29 00:03","Kevin Johansen","Desde Que Te Perdí","1275"
"2020-08-29 00:06","Luis Alberto Spinetta","Barro Tal Vez","197746"
"2020-08-29 00:11","Jorge Drexler","Las transeúntes","303080"
"2020-08-29 00:15","Usted Señalemelo","Agua Marfil","251853"
"2020-08-29 00:18","Almendra","Muchacha (Ojos de Papel)","187786"
"2020-08-29 00:23","Charly García","Rezo Por Vos - Live","288200"
"2020-08-29 00:27","Luis Alberto Spinetta","Bajan (En Vivo) (feat. Gustavo Cerati)","225906"
"2020-08-29 00:32","Pedro Aznar","Seminare - En Vivo","288373"
"2020-08-29 00:37","Fito Paez","Tumbas De La Gloria","284853"
"2020-08-29 00:40","Gustavo Cerati","Crimen","232026"
"2020-08-29 00:44","Colectivo Paradise","Solcito","15114"
"2020-08-29 00:44","Charly García","Los Dinosaurios","208093"
"2020-08-29 00:48","Sui Generis","Aprendizaje","222386"
"2020-08-29 00:51","Los Fabulosos Cadillacs","Vos Sabes","190106"
"2020-08-29 00:56","Sui Generis","Fabricante De Mentiras","292133"
"2020-08-29 01:02","Luis Alberto Spinetta","Cancion para los Días de la Vida","347960"
"2020-08-29 01:05","Taburete","Sirenas","184250"
"2020-08-29 01:09","Andrés Calamaro","Flaca","277653"
"2020-08-29 01:13","Sui Generis","Cuando Ya Me Empiece a Quedar Solo","214720"
"2020-08-29 01:18","Divididos","Spaghetti del Rock","212880"
"2020-08-29 01:23","Serú Girán","Desarma Y Sangra - Remastered","222266"
"2020-08-29 01:29","Mercedes Sosa","Zona de Promesas (feat. Gustavo Cerati)","238840"
"2020-08-29 01:35","Soda Stereo","Persiana Americana - Remasterizado 2007","292266"
"2020-08-29 01:40","Fito Paez","Llueve Sobre Mojado","255039"
"2020-08-29 03:09","DrefQuila","Olvida el miedo","181607"
"2020-08-29 03:13","Polimá Westcoast","Esto No Es una Canción de Amor","234684"
"2020-08-29 03:16","Princesa Alba","Summer Love","191427"
"2020-08-29 18:34","DrefQuila","Demasiao'","100610"
"2020-08-30 03:27","Luis Alberto Spinetta","Te para Tres (En Vivo) (feat. Gustavo Cerati)","196453"
"2020-08-30 03:32","Sui Generis","Fabricante De Mentiras","292133"
"2020-08-30 03:36","Mancha De Rolando","Arde la Ciudad","252760"
"2020-08-30 03:40","Lágrimas De Sangre","Voy a Celebrarlo","230157"
"2020-08-31 00:12","Andrés Calamaro","Crímenes perfectos","190"
"2020-08-31 00:12","Charly García","Los Dinosaurios","2127"
"2020-08-31 00:12","Charly García","Tu Amor","40"
"2020-08-31 00:12","Lágrimas De Sangre","Buen Viaje","154"
